epoch,clf_loss,aigu_auc,ffpp_auc,combined_auc,lr,time_sec,hnm_active
1,0.938679,0.951179,0.594510,0.751988,0.00002778,3589.0,0
2,0.699312,0.975270,0.760880,0.861431,0.00003889,3578.9,0
3,0.571303,0.985788,0.858132,0.919748,0.00005000,3347.8,0
4,0.433805,0.990148,0.878022,0.932402,0.00002778,1578.3,0
5,0.363485,0.990284,0.889095,0.938326,0.00003889,1431.7,0
6,0.293110,0.989331,0.882543,0.934412,0.00005000,1931.3,0
7,0.400887,0.992619,0.880562,0.934913,0.00004983,1404.9,0
8,0.354994,0.993092,0.855393,0.921674,0.00004934,1450.8,0
9,0.316921,0.993887,0.872220,0.931068,0.00004852,3457.9,0
10,0.296076,0.993269,0.844503,0.915870,0.00004739,1600.0,0
11,0.263894,0.993958,0.876157,0.933201,0.00004597,1521.1,0
12,0.248294,0.990195,0.854002,0.919581,0.00004427,1459.2,0
13,0.243712,0.993783,0.866370,0.927892,0.00004231,4574.2,0
14,0.232375,0.993934,0.849773,0.919031,0.00004013,2558.3,0
